"Innehåll","Antal","Artikelnummer","Tillverkarens artikelnummer","Beskrivning","Kundreferens","Tillgängligt","Restorder","Enhetspris","Summa SEK"
"1","4","1597-114090050-ND","114090050","STANDARD MOTOR 210 RPM 3-7.2V","","4","0","12,36000","49,44"
"2","3","751-1227-ND","TSOP38238","SENSOR REMOTE REC 38.0KHZ 45M","","3","0","11,64000","34,92"
"3","2","36-2465-ND","2465","BATT HOLDER AA 3 CELL 6"" LEADS","","2","0","18,64000","37,28"
"4","4","296-40078-1-ND","DRV8833CPWPR","IC MOTOR DRIVER PAR","","4","0","17,61000","70,44"
"5","3","732-13444-ND","1540051EC3590","SENSOR PHOTODIODE 940NM RADIAL","","3","0","5,77000","17,31"
"6","3","1080-1139-ND","PD204-6B","SENSOR PHOTODIODE 940NM RADIAL","","3","0","4,53000","13,59"
"7","3","BIR-BM53E4G-2-ND","BIR-BM53E4G-2","5MM 940 IR","","3","0","3,61000","10,83"
"8","3","296-51366-1-ND","LMV324AIPWR","IC OPAMP GP 4 CIRCUIT 14TSSOP","","3","0","3,71000","11,13"
"9","3","1830-INL-5AHIR30-ND","INL-5AHIR30","THROUGH HOLE / STANDARD 5MM T1 3","","3","0","3,91000","11,73"
"10","5","1855-1049-1-ND","GP2S60","PHOTOINTERRUPTER REFLEC 1MM SMD","","5","0","8,96200","44,81"
"11","2","1965-ESP32-S3-WROOM-1-N4CT-ND","ESP32-S3-WROOM-1-N4","SMD MODULE, ESP32-S3, 4 MB SPI F","","2","0","33,48000","66,96"
"12","2","SIZ322DT-T1-GE3CT-ND","SIZ322DT-T1-GE3","MOSFET 2 N-CH 25V 30A 8-POWER33","","2","0","9,37000","18,74"
"13","4","PTS647SM38SMTR2LFSCT-ND","PTS 647 SM38 SMTR2 LFS","TACT 4.5 X 4.5, 3.8 MM H, 1.8N,","","4","0","2,06000","8,24"
"14","2","609-4616-1-ND","10118193-0001LF","CONN RCPT USB2.0 MICRO B SMD R/A","","2","0","4,74000","9,48"
"15","3","AP7361C-33ER-13DICT-ND","AP7361C-33ER-13","IC REG LINEAR 3.3V 1A SOT223R","","3","0","6,18000","18,54"
"16","3","EG1917-ND","EG1206A","SWITCH SLIDE SPDT 200MA 30V","","3","0","7,83000","23,49"
"17","3","785-1000-1-ND","AO3400A","MOSFET N-CH 30V 5.7A SOT23-3L","","3","0","4,84000","14,52"
"18","4","DMG2302U-7DICT-ND","DMG2302U-7","MOSFET N-CH 20V 4.2A SOT23-3","","4","0","3,89000","15,56"
"19","2","4544-FZ2812-5050CT-ND","FZ2812-5050","ADDRESS LED RED/GRN/BLUE","","2","0","7,05000","14,10"
"20","5","1655-1N4007FLCT-ND","1N4007FL","DIODE GEN PURP 1KV 1A SOD123FL","","5","0","1,47000","7,35"